{'loss': 3.9604, 'grad_norm': 8.945859909057617, 'learning_rate': 4.9074074074074075e-05, 'epoch': 0.07}
{'loss': 3.7575, 'grad_norm': 4.918540000915527, 'learning_rate': 4.814814814814815e-05, 'epoch': 0.15}
{'loss': 3.7766, 'grad_norm': 6.061675071716309, 'learning_rate': 4.722222222222222e-05, 'epoch': 0.22}
{'loss': 3.4447, 'grad_norm': 10.838211059570312, 'learning_rate': 4.62962962962963e-05, 'epoch': 0.3}
{'loss': 3.3268, 'grad_norm': 13.988856315612793, 'learning_rate': 4.5370370370370374e-05, 'epoch': 0.37}
{'loss': 3.0046, 'grad_norm': 13.0437650680542, 'learning_rate': 4.4444444444444447e-05, 'epoch': 0.44}
{'loss': 3.0013, 'grad_norm': 10.693085670471191, 'learning_rate': 4.351851851851852e-05, 'epoch': 0.52}
{'loss': 2.7981, 'grad_norm': 7.516474723815918, 'learning_rate': 4.259259259259259e-05, 'epoch': 0.59}
{'loss': 2.9643, 'grad_norm': 12.124521255493164, 'learning_rate': 4.166666666666667e-05, 'epoch': 0.66}
{'loss': 3.0342, 'grad_norm': 14.680389404296875, 'learning_rate': 4.074074074074074e-05, 'epoch': 0.74}
{'loss': 2.8865, 'grad_norm': 10.261094093322754, 'learning_rate': 3.981481481481482e-05, 'epoch': 0.81}
{'loss': 2.9089, 'grad_norm': 7.564232349395752, 'learning_rate': 3.888888888888889e-05, 'epoch': 0.89}
{'loss': 2.6941, 'grad_norm': 11.803096771240234, 'learning_rate': 3.7962962962962964e-05, 'epoch': 0.96}
{'loss': 2.5263, 'grad_norm': 11.237549781799316, 'learning_rate': 3.7037037037037037e-05, 'epoch': 1.03}
{'loss': 2.6645, 'grad_norm': 10.816061019897461, 'learning_rate': 3.611111111111111e-05, 'epoch': 1.1}
{'loss': 2.5952, 'grad_norm': 9.243900299072266, 'learning_rate': 3.518518518518519e-05, 'epoch': 1.18}
{'loss': 2.5365, 'grad_norm': 9.35739803314209, 'learning_rate': 3.425925925925926e-05, 'epoch': 1.25}
{'loss': 2.6559, 'grad_norm': 9.343174934387207, 'learning_rate': 3.3333333333333335e-05, 'epoch': 1.32}
{'loss': 2.538, 'grad_norm': 9.41529655456543, 'learning_rate': 3.240740740740741e-05, 'epoch': 1.4}
{'loss': 2.7372, 'grad_norm': 14.19508171081543, 'learning_rate': 3.148148148148148e-05, 'epoch': 1.47}
{'loss': 2.6879, 'grad_norm': 8.224530220031738, 'learning_rate': 3.055555555555556e-05, 'epoch': 1.55}
{'loss': 2.7039, 'grad_norm': 10.11578369140625, 'learning_rate': 2.962962962962963e-05, 'epoch': 1.62}
{'loss': 2.6163, 'grad_norm': 13.348077774047852, 'learning_rate': 2.8703703703703706e-05, 'epoch': 1.69}
{'loss': 2.5614, 'grad_norm': 14.509892463684082, 'learning_rate': 2.777777777777778e-05, 'epoch': 1.77}
{'loss': 2.556, 'grad_norm': 6.969995975494385, 'learning_rate': 2.6851851851851855e-05, 'epoch': 1.84}
{'loss': 2.5465, 'grad_norm': 10.847918510437012, 'learning_rate': 2.5925925925925925e-05, 'epoch': 1.92}
{'loss': 2.6103, 'grad_norm': 14.898149490356445, 'learning_rate': 2.5e-05, 'epoch': 1.99}
{'loss': 2.2409, 'grad_norm': 6.808485984802246, 'learning_rate': 2.4074074074074074e-05, 'epoch': 2.06}
{'loss': 2.3766, 'grad_norm': 11.770590782165527, 'learning_rate': 2.314814814814815e-05, 'epoch': 2.13}
{'loss': 2.3476, 'grad_norm': 4.540996551513672, 'learning_rate': 2.2222222222222223e-05, 'epoch': 2.21}
{'loss': 2.2872, 'grad_norm': 2.6734354496002197, 'learning_rate': 2.1296296296296296e-05, 'epoch': 2.28}
{'loss': 2.4514, 'grad_norm': 3.2157344818115234, 'learning_rate': 2.037037037037037e-05, 'epoch': 2.35}
{'loss': 2.3846, 'grad_norm': 11.358959197998047, 'learning_rate': 1.9444444444444445e-05, 'epoch': 2.43}
{'loss': 2.3365, 'grad_norm': 12.916495323181152, 'learning_rate': 1.8518518518518518e-05, 'epoch': 2.5}
{'loss': 2.3663, 'grad_norm': 4.799221038818359, 'learning_rate': 1.7592592592592595e-05, 'epoch': 2.58}
{'loss': 2.2708, 'grad_norm': 13.103907585144043, 'learning_rate': 1.6666666666666667e-05, 'epoch': 2.65}
{'loss': 2.3293, 'grad_norm': 12.626809120178223, 'learning_rate': 1.574074074074074e-05, 'epoch': 2.72}
{'loss': 2.3288, 'grad_norm': 11.137737274169922, 'learning_rate': 1.4814814814814815e-05, 'epoch': 2.8}
{'loss': 2.4691, 'grad_norm': 8.274209022521973, 'learning_rate': 1.388888888888889e-05, 'epoch': 2.87}
{'loss': 2.3782, 'grad_norm': 14.050188064575195, 'learning_rate': 1.2962962962962962e-05, 'epoch': 2.94}
{'loss': 2.1957, 'grad_norm': 12.106249809265137, 'learning_rate': 1.2037037037037037e-05, 'epoch': 3.01}
{'loss': 2.1547, 'grad_norm': 5.084665775299072, 'learning_rate': 1.1111111111111112e-05, 'epoch': 3.09}
{'loss': 2.161, 'grad_norm': 5.316351890563965, 'learning_rate': 1.0185185185185185e-05, 'epoch': 3.16}
{'loss': 2.1866, 'grad_norm': 5.069694519042969, 'learning_rate': 9.259259259259259e-06, 'epoch': 3.24}
{'loss': 2.2097, 'grad_norm': 2.9270832538604736, 'learning_rate': 8.333333333333334e-06, 'epoch': 3.31}
{'loss': 2.2517, 'grad_norm': 1.8511848449707031, 'learning_rate': 7.4074074074074075e-06, 'epoch': 3.38}
{'loss': 2.206, 'grad_norm': 2.95442271232605, 'learning_rate': 6.481481481481481e-06, 'epoch': 3.46}
{'loss': 2.12, 'grad_norm': 1.0309760570526123, 'learning_rate': 5.555555555555556e-06, 'epoch': 3.53}
{'loss': 2.1871, 'grad_norm': 4.551980972290039, 'learning_rate': 4.6296296296296296e-06, 'epoch': 3.61}
{'loss': 2.1789, 'grad_norm': 2.3631722927093506, 'learning_rate': 3.7037037037037037e-06, 'epoch': 3.68}
{'loss': 2.1906, 'grad_norm': 11.174033164978027, 'learning_rate': 2.777777777777778e-06, 'epoch': 3.75}
{'loss': 2.2751, 'grad_norm': 9.546364784240723, 'learning_rate': 1.8518518518518519e-06, 'epoch': 3.83}
{'loss': 2.2113, 'grad_norm': 0.7121449112892151, 'learning_rate': 9.259259259259259e-07, 'epoch': 3.9}
{'loss': 2.2199, 'grad_norm': 6.3470845222473145, 'learning_rate': 0.0, 'epoch': 3.97}
{'train_runtime': 70.72, 'train_samples_per_second': 91.855, 'train_steps_per_second': 7.636, 'train_loss': 2.581660768720839, 'epoch': 3.97}
0 0.7952029520295203
{'loss': 3.8369, 'grad_norm': 6.316067218780518, 'learning_rate': 4.9074074074074075e-05, 'epoch': 0.07}
{'loss': 3.8002, 'grad_norm': 9.346750259399414, 'learning_rate': 4.814814814814815e-05, 'epoch': 0.15}
{'loss': 3.3449, 'grad_norm': 7.673866271972656, 'learning_rate': 4.722222222222222e-05, 'epoch': 0.22}
{'loss': 3.0353, 'grad_norm': 6.292440414428711, 'learning_rate': 4.62962962962963e-05, 'epoch': 0.3}
