{'loss': 4.2647, 'grad_norm': 27.289901733398438, 'learning_rate': 1.962962962962963e-05, 'epoch': 0.07}
{'loss': 3.8649, 'grad_norm': 19.562450408935547, 'learning_rate': 1.925925925925926e-05, 'epoch': 0.15}
{'loss': 3.8976, 'grad_norm': 18.086257934570312, 'learning_rate': 1.888888888888889e-05, 'epoch': 0.22}
{'loss': 3.8112, 'grad_norm': 29.547815322875977, 'learning_rate': 1.851851851851852e-05, 'epoch': 0.3}
{'loss': 3.8639, 'grad_norm': 17.021150588989258, 'learning_rate': 1.814814814814815e-05, 'epoch': 0.37}
{'loss': 3.7724, 'grad_norm': 13.214442253112793, 'learning_rate': 1.7777777777777777e-05, 'epoch': 0.44}
{'loss': 3.8015, 'grad_norm': 14.757438659667969, 'learning_rate': 1.740740740740741e-05, 'epoch': 0.52}
{'loss': 3.754, 'grad_norm': 16.621564865112305, 'learning_rate': 1.7037037037037038e-05, 'epoch': 0.59}
{'loss': 3.6744, 'grad_norm': 18.530574798583984, 'learning_rate': 1.6666666666666667e-05, 'epoch': 0.66}
{'loss': 3.5981, 'grad_norm': 17.965681076049805, 'learning_rate': 1.6296296296296297e-05, 'epoch': 0.74}
{'loss': 3.3671, 'grad_norm': 18.233806610107422, 'learning_rate': 1.5925925925925926e-05, 'epoch': 0.81}
{'loss': 3.2224, 'grad_norm': 12.737997055053711, 'learning_rate': 1.555555555555556e-05, 'epoch': 0.89}
{'loss': 3.1411, 'grad_norm': 16.106548309326172, 'learning_rate': 1.5185185185185187e-05, 'epoch': 0.96}
{'loss': 2.9876, 'grad_norm': 21.019527435302734, 'learning_rate': 1.4814814814814815e-05, 'epoch': 1.03}
{'loss': 2.9126, 'grad_norm': 14.30029296875, 'learning_rate': 1.4444444444444446e-05, 'epoch': 1.1}
{'loss': 2.8279, 'grad_norm': 17.45349884033203, 'learning_rate': 1.4074074074074075e-05, 'epoch': 1.18}
{'loss': 2.812, 'grad_norm': 20.503673553466797, 'learning_rate': 1.3703703703703706e-05, 'epoch': 1.25}
{'loss': 2.8931, 'grad_norm': 11.583869934082031, 'learning_rate': 1.3333333333333333e-05, 'epoch': 1.32}
{'loss': 2.832, 'grad_norm': 18.140850067138672, 'learning_rate': 1.2962962962962964e-05, 'epoch': 1.4}
{'loss': 2.9221, 'grad_norm': 9.784653663635254, 'learning_rate': 1.2592592592592593e-05, 'epoch': 1.47}
{'loss': 2.9474, 'grad_norm': 14.781628608703613, 'learning_rate': 1.2222222222222224e-05, 'epoch': 1.55}
{'loss': 2.8747, 'grad_norm': 18.66795539855957, 'learning_rate': 1.1851851851851852e-05, 'epoch': 1.62}
{'loss': 2.9381, 'grad_norm': 19.95484733581543, 'learning_rate': 1.1481481481481482e-05, 'epoch': 1.69}
{'loss': 2.672, 'grad_norm': 19.921981811523438, 'learning_rate': 1.1111111111111113e-05, 'epoch': 1.77}
{'loss': 2.8321, 'grad_norm': 16.478269577026367, 'learning_rate': 1.0740740740740742e-05, 'epoch': 1.84}
{'loss': 2.7058, 'grad_norm': 16.39006805419922, 'learning_rate': 1.037037037037037e-05, 'epoch': 1.92}
{'loss': 2.6857, 'grad_norm': 20.678834915161133, 'learning_rate': 1e-05, 'epoch': 1.99}
{'loss': 2.45, 'grad_norm': 11.72611141204834, 'learning_rate': 9.62962962962963e-06, 'epoch': 2.06}
{'loss': 2.6297, 'grad_norm': 13.106505393981934, 'learning_rate': 9.25925925925926e-06, 'epoch': 2.13}
{'loss': 2.5079, 'grad_norm': 10.483074188232422, 'learning_rate': 8.888888888888888e-06, 'epoch': 2.21}
