{'loss': 4.0027, 'grad_norm': 8.421422004699707, 'learning_rate': 4.9074074074074075e-05, 'epoch': 0.07}
{'loss': 3.6941, 'grad_norm': 5.738518714904785, 'learning_rate': 4.814814814814815e-05, 'epoch': 0.15}
{'loss': 3.5506, 'grad_norm': 7.6845269203186035, 'learning_rate': 4.722222222222222e-05, 'epoch': 0.22}
{'loss': 3.1732, 'grad_norm': 11.532548904418945, 'learning_rate': 4.62962962962963e-05, 'epoch': 0.3}
{'loss': 3.2237, 'grad_norm': 10.536346435546875, 'learning_rate': 4.5370370370370374e-05, 'epoch': 0.37}
{'loss': 3.1204, 'grad_norm': 15.423110008239746, 'learning_rate': 4.4444444444444447e-05, 'epoch': 0.44}
{'loss': 2.9609, 'grad_norm': 10.538193702697754, 'learning_rate': 4.351851851851852e-05, 'epoch': 0.52}
{'loss': 2.8184, 'grad_norm': 12.128386497497559, 'learning_rate': 4.259259259259259e-05, 'epoch': 0.59}
{'loss': 3.0311, 'grad_norm': 10.110139846801758, 'learning_rate': 4.166666666666667e-05, 'epoch': 0.66}
{'loss': 3.0215, 'grad_norm': 9.50963306427002, 'learning_rate': 4.074074074074074e-05, 'epoch': 0.74}
{'loss': 2.9064, 'grad_norm': 10.148395538330078, 'learning_rate': 3.981481481481482e-05, 'epoch': 0.81}
{'loss': 2.8336, 'grad_norm': 4.836912631988525, 'learning_rate': 3.888888888888889e-05, 'epoch': 0.89}
{'loss': 2.7643, 'grad_norm': 7.768711090087891, 'learning_rate': 3.7962962962962964e-05, 'epoch': 0.96}
{'loss': 2.6295, 'grad_norm': 10.014748573303223, 'learning_rate': 3.7037037037037037e-05, 'epoch': 1.03}
{'loss': 2.497, 'grad_norm': 9.06220531463623, 'learning_rate': 3.611111111111111e-05, 'epoch': 1.1}
{'loss': 2.5792, 'grad_norm': 7.802067279815674, 'learning_rate': 3.518518518518519e-05, 'epoch': 1.18}
{'loss': 2.4558, 'grad_norm': 11.064260482788086, 'learning_rate': 3.425925925925926e-05, 'epoch': 1.25}
{'loss': 2.6256, 'grad_norm': 7.215763092041016, 'learning_rate': 3.3333333333333335e-05, 'epoch': 1.32}
{'loss': 2.4672, 'grad_norm': 9.643881797790527, 'learning_rate': 3.240740740740741e-05, 'epoch': 1.4}
{'loss': 2.7044, 'grad_norm': 4.97413444519043, 'learning_rate': 3.148148148148148e-05, 'epoch': 1.47}
{'loss': 2.6099, 'grad_norm': 9.470819473266602, 'learning_rate': 3.055555555555556e-05, 'epoch': 1.55}
{'loss': 2.7324, 'grad_norm': 7.644041061401367, 'learning_rate': 2.962962962962963e-05, 'epoch': 1.62}
{'loss': 2.581, 'grad_norm': 6.818655014038086, 'learning_rate': 2.8703703703703706e-05, 'epoch': 1.69}
{'loss': 2.4302, 'grad_norm': 15.182486534118652, 'learning_rate': 2.777777777777778e-05, 'epoch': 1.77}
{'loss': 2.5109, 'grad_norm': 7.497849464416504, 'learning_rate': 2.6851851851851855e-05, 'epoch': 1.84}
{'loss': 2.5891, 'grad_norm': 8.219925880432129, 'learning_rate': 2.5925925925925925e-05, 'epoch': 1.92}
{'loss': 2.4714, 'grad_norm': 15.98879337310791, 'learning_rate': 2.5e-05, 'epoch': 1.99}
{'loss': 2.2394, 'grad_norm': 6.404488563537598, 'learning_rate': 2.4074074074074074e-05, 'epoch': 2.06}
{'loss': 2.3417, 'grad_norm': 8.235551834106445, 'learning_rate': 2.314814814814815e-05, 'epoch': 2.13}
{'loss': 2.3029, 'grad_norm': 5.587235927581787, 'learning_rate': 2.2222222222222223e-05, 'epoch': 2.21}
{'loss': 2.257, 'grad_norm': 1.5622164011001587, 'learning_rate': 2.1296296296296296e-05, 'epoch': 2.28}
{'loss': 2.4575, 'grad_norm': 5.699863433837891, 'learning_rate': 2.037037037037037e-05, 'epoch': 2.35}
{'loss': 2.3236, 'grad_norm': 7.895181655883789, 'learning_rate': 1.9444444444444445e-05, 'epoch': 2.43}
{'loss': 2.2993, 'grad_norm': 12.122518539428711, 'learning_rate': 1.8518518518518518e-05, 'epoch': 2.5}
{'loss': 2.3761, 'grad_norm': 6.866950511932373, 'learning_rate': 1.7592592592592595e-05, 'epoch': 2.58}
{'loss': 2.2324, 'grad_norm': 6.501887798309326, 'learning_rate': 1.6666666666666667e-05, 'epoch': 2.65}
{'loss': 2.2865, 'grad_norm': 6.523271560668945, 'learning_rate': 1.574074074074074e-05, 'epoch': 2.72}
{'loss': 2.3419, 'grad_norm': 12.986262321472168, 'learning_rate': 1.4814814814814815e-05, 'epoch': 2.8}
{'loss': 2.4362, 'grad_norm': 4.461920261383057, 'learning_rate': 1.388888888888889e-05, 'epoch': 2.87}
{'loss': 2.3016, 'grad_norm': 7.925008773803711, 'learning_rate': 1.2962962962962962e-05, 'epoch': 2.94}
{'loss': 2.1403, 'grad_norm': 2.881887912750244, 'learning_rate': 1.2037037037037037e-05, 'epoch': 3.01}
{'loss': 2.1591, 'grad_norm': 1.1543350219726562, 'learning_rate': 1.1111111111111112e-05, 'epoch': 3.09}
{'loss': 2.1496, 'grad_norm': 6.487274169921875, 'learning_rate': 1.0185185185185185e-05, 'epoch': 3.16}
{'loss': 2.1839, 'grad_norm': 5.043452262878418, 'learning_rate': 9.259259259259259e-06, 'epoch': 3.24}
{'loss': 2.2279, 'grad_norm': 11.683640480041504, 'learning_rate': 8.333333333333334e-06, 'epoch': 3.31}
{'loss': 2.2246, 'grad_norm': 2.388946533203125, 'learning_rate': 7.4074074074074075e-06, 'epoch': 3.38}
{'loss': 2.2162, 'grad_norm': 6.846748352050781, 'learning_rate': 6.481481481481481e-06, 'epoch': 3.46}
{'loss': 2.1199, 'grad_norm': 3.3127782344818115, 'learning_rate': 5.555555555555556e-06, 'epoch': 3.53}
{'loss': 2.178, 'grad_norm': 4.892966270446777, 'learning_rate': 4.6296296296296296e-06, 'epoch': 3.61}
{'loss': 2.1969, 'grad_norm': 2.8200528621673584, 'learning_rate': 3.7037037037037037e-06, 'epoch': 3.68}
{'loss': 2.154, 'grad_norm': 7.2358717918396, 'learning_rate': 2.777777777777778e-06, 'epoch': 3.75}
{'loss': 2.2268, 'grad_norm': 5.740039825439453, 'learning_rate': 1.8518518518518519e-06, 'epoch': 3.83}
{'loss': 2.1541, 'grad_norm': 1.3962103128433228, 'learning_rate': 9.259259259259259e-07, 'epoch': 3.9}
{'loss': 2.1862, 'grad_norm': 11.988511085510254, 'learning_rate': 0.0, 'epoch': 3.97}
{'train_runtime': 70.9332, 'train_samples_per_second': 91.579, 'train_steps_per_second': 7.613, 'train_loss': 2.5499611148127803, 'epoch': 3.97}
0 0.8044280442804428
{'loss': 3.7864, 'grad_norm': 6.66709041595459, 'learning_rate': 4.9074074074074075e-05, 'epoch': 0.07}
{'loss': 3.7404, 'grad_norm': 9.235182762145996, 'learning_rate': 4.814814814814815e-05, 'epoch': 0.15}
{'loss': 3.2843, 'grad_norm': 6.7235307693481445, 'learning_rate': 4.722222222222222e-05, 'epoch': 0.22}
{'loss': 3.1836, 'grad_norm': 7.155701160430908, 'learning_rate': 4.62962962962963e-05, 'epoch': 0.3}
{'loss': 3.1901, 'grad_norm': 11.720043182373047, 'learning_rate': 4.5370370370370374e-05, 'epoch': 0.37}
{'loss': 3.161, 'grad_norm': 7.8954176902771, 'learning_rate': 4.4444444444444447e-05, 'epoch': 0.44}
{'loss': 3.0541, 'grad_norm': 7.504678249359131, 'learning_rate': 4.351851851851852e-05, 'epoch': 0.52}
{'loss': 2.9863, 'grad_norm': 7.806466102600098, 'learning_rate': 4.259259259259259e-05, 'epoch': 0.59}
{'loss': 2.9874, 'grad_norm': 10.97152328491211, 'learning_rate': 4.166666666666667e-05, 'epoch': 0.66}
{'loss': 2.804, 'grad_norm': 9.59875774383545, 'learning_rate': 4.074074074074074e-05, 'epoch': 0.74}
{'loss': 3.0015, 'grad_norm': 8.656842231750488, 'learning_rate': 3.981481481481482e-05, 'epoch': 0.81}
{'loss': 2.7262, 'grad_norm': 14.058363914489746, 'learning_rate': 3.888888888888889e-05, 'epoch': 0.89}
{'loss': 2.8447, 'grad_norm': 9.8473539352417, 'learning_rate': 3.7962962962962964e-05, 'epoch': 0.96}
{'loss': 2.7658, 'grad_norm': 11.146687507629395, 'learning_rate': 3.7037037037037037e-05, 'epoch': 1.03}
{'loss': 2.5743, 'grad_norm': 8.862791061401367, 'learning_rate': 3.611111111111111e-05, 'epoch': 1.1}
{'loss': 2.5205, 'grad_norm': 4.755771160125732, 'learning_rate': 3.518518518518519e-05, 'epoch': 1.18}
{'loss': 2.4628, 'grad_norm': 5.170370101928711, 'learning_rate': 3.425925925925926e-05, 'epoch': 1.25}
{'loss': 2.5913, 'grad_norm': 7.181214332580566, 'learning_rate': 3.3333333333333335e-05, 'epoch': 1.32}
{'loss': 2.5079, 'grad_norm': 8.479205131530762, 'learning_rate': 3.240740740740741e-05, 'epoch': 1.4}
{'loss': 2.6164, 'grad_norm': 9.830201148986816, 'learning_rate': 3.148148148148148e-05, 'epoch': 1.47}
{'loss': 2.6386, 'grad_norm': 8.47026252746582, 'learning_rate': 3.055555555555556e-05, 'epoch': 1.55}
{'loss': 2.5888, 'grad_norm': 14.105673789978027, 'learning_rate': 2.962962962962963e-05, 'epoch': 1.62}
